AcKc9d	58.708	12.549	65.969	34.031	
AcKcQd	58.628	12.375	63.929	36.071	
AcKdKc	58.425	13.731	79.373	20.627	
AcKc5d	58.425	13.025	76.856	23.144	
AhKdQc	58.348	12.237	52.914	47.086	
AhKd9c	58.343	12.409	53.852	46.148	
AdKcQc	58.270	12.146	58.178	41.822	
AcKd9c	58.242	12.285	58.306	41.694	
AcKc8d	58.219	12.665	70.104	29.896	
AdKc9c	58.217	12.163	55.731	44.269	
AcKdQc	58.205	12.231	59.408	40.592	
AcKc6d	58.173	12.924	74.655	25.345	
AcKcTd	58.150	11.970	55.765	44.235	
AcKc7d	58.120	12.700	70.853	29.147	
AdKc5c	58.058	12.676	69.247	30.753	
AcKd6c	58.019	12.781	70.574	29.426	
AcKd5c	57.993	12.728	69.146	30.854	
AhKd5c	57.955	12.871	65.195	34.805	
AdKcTc	57.938	11.846	49.182	50.818	
AhQdQc	57.913	12.421	62.537	37.463	
AhKdTc	57.905	11.874	43.901	56.099	
AcKc4d	57.866	12.932	76.126	23.874	
AcKd8c	57.852	12.427	63.617	36.383	
AcKd7c	57.840	12.516	65.729	34.271	
AdKc8c	57.826	12.304	60.635	39.365	
AcKdTc	57.817	11.893	50.548	49.452	
AhKd8c	57.778	12.531	59.592	40.408	
AdKc6c	57.714	12.495	65.653	34.347	
AhKd6c	57.690	12.774	64.064	35.936	
AdKc7c	57.673	12.312	61.955	38.045	
AcKd4c	57.668	12.734	71.552	28.448	
AhKd7c	57.663	12.560	60.120	39.880	
AdAcKc	57.620	12.853	71.135	28.865	
AhKdKc	57.597	13.303	70.497	29.503	
AcKcJd	57.593	11.607	47.817	52.183	
AcQdQc	57.588	12.039	60.353	39.647	
AdKc4c	57.386	12.470	66.799	33.201	
AhKd4c	57.368	12.755	66.736	33.264	
AcKc3d	57.313	12.738	72.956	27.044	
AdKcJc	57.309	11.461	41.564	58.436	
AhKdJc	57.292	11.467	35.488	64.512	
AcKd3c	57.156	12.551	68.469	31.531	
AcKc2d	57.102	12.623	70.923	29.077	
AcKdJc	57.088	11.464	42.215	57.785	
AdJcTc	56.997	11.113	34.722	65.278	
AdQcJc	56.937	10.929	20.003	79.997	
AdQc5c	56.927	11.234	44.049	55.951	
AcKd2c	56.885	12.429	64.885	35.115	
AdKc3c	56.839	12.259	62.958	37.042	
AdQc9c	56.813	10.954	37.169	62.831	
AhKd3c	56.804	12.544	63.112	36.888	
AdAhKc	56.779	12.453	60.805	39.195	
AdKc2c	56.743	12.225	60.657	39.343	
AhQd5c	56.733	11.094	41.208	58.792	
AdQc8c	56.708	10.848	38.049	61.951	
AhJdTc	56.666	10.862	25.986	74.014	
AcQd6c	56.617	11.170	45.188	54.812	
AcQd5c	56.610	11.007	42.433	57.567	
AhKd2c	56.603	12.441	59.708	40.292	
AhQd8c	56.590	10.744	34.193	65.807	
AdQc6c	56.588	11.167	42.981	57.019	
AhQdJc	56.573	10.636	14.032	85.968	
AcJdTc	56.531	10.853	30.692	69.308	
AcQd8c	56.530	10.718	37.828	62.172	
AdQc7c	56.502	10.912	37.229	62.771	
AcQc5d	56.501	10.898	43.382	56.618	
AhQd9c	56.490	10.768	33.232	66.768	
AdQcTc	56.473	10.632	17.032	82.968	
AcQd7c	56.457	10.859	38.156	61.844	
AhQd7c	56.376	10.832	35.498	64.502	
AcQd9c	56.372	10.685	33.031	66.969	
AdQc4c	56.367	11.193	45.031	54.969	
AhQd6c	56.364	11.098	42.344	57.656	
AcQd4c	56.347	11.157	46.201	53.799	
AcJcTd	56.331	10.755	29.237	70.763	
AcQc8d	56.321	10.565	39.622	60.378	
Ac9d9c	56.308	12.034	60.290	39.710	
Ah9d9c	56.295	12.247	67.411	32.589	
AdAhQc	56.292	11.464	51.267	48.733	
KhJdJc	56.282	12.035	80.342	19.658	
AcQcJd	56.280	10.524	15.903	84.097	
AcQdJc	56.236	10.545	15.671	84.329	
AcQc9d	56.232	10.580	34.991	65.009	
AhJdJc	56.219	11.746	53.399	46.601	
AhQdTc	56.215	10.396	11.045	88.955	
AcQc6d	56.173	10.886	42.815	57.185	
AcQc7d	56.144	10.633	37.815	62.185	
AhQd4c	56.138	11.129	46.125	53.875	
KcJdJc	56.130	11.576	72.477	27.523	
AcKc6c	56.113	11.796	65.255	34.745	
Kh9d9c	56.106	13.266	94.832	5.168	
AcQdTc	56.090	10.408	14.499	85.501	
AcKc5c	56.080	11.723	64.956	35.044	
Kc9d9c	56.054	12.785	96.142	3.858	
AdAcQc	56.040	11.093	49.494	50.506	
AcQcTd	55.967	10.309	12.936	87.064	
AcQc4d	55.956	10.919	44.779	55.221	
Ac8d8c	55.950	12.047	61.934	38.066	
AcKc8c	55.929	11.464	59.878	40.122	
AcKc7c	55.917	11.564	61.910	38.090	
